DATE	PREC	TEMP
31/12/1967	0	8.3
01/01/1968	0.6547475	8.3
02/01/1968	14.841095	8.3
03/01/1968	23.2103325	8.3
04/01/1968	0.1459275	8.3
05/01/1968	0.1126625	8.3
06/01/1968	4.679285	8.3
07/01/1968	0.816	8.3
08/01/1968	0	8.3
09/01/1968	0.0554075	8.3
10/01/1968	0.3117825	8.3
11/01/1968	0.950895	8.3
12/01/1968	0	8.3
13/01/1968	0	8.3
14/01/1968	0.1119875	8.3
15/01/1968	0.005265	8.3
16/01/1968	0.4159225	8.3
17/01/1968	0.0317725	8.3
18/01/1968	0.029355	8.3
19/01/1968	0.3649925	8.3
20/01/1968	0.8076625	8.3
21/01/1968	0.133805	8.3
22/01/1968	0.02445	8.3
23/01/1968	1.1462225	8.3
24/01/1968	2.02203	8.3
25/01/1968	0.1720575	8.3
26/01/1968	2.05769	8.3
27/01/1968	3.056815	8.3
28/01/1968	0.0863125	8.3
29/01/1968	0.0143925	8.3
30/01/1968	0.243485	8.3
31/01/1968	0.0153375	8.3
01/02/1968	0.5301025	8.3
02/02/1968	0	8.3
03/02/1968	0.01848	8.3
04/02/1968	0	8.3
05/02/1968	0	8.3
06/02/1968	0.040755	8.3
07/02/1968	0	8.3
08/02/1968	0	8.3
09/02/1968	0	8.3
10/02/1968	0.15741	8.3
11/02/1968	0.9981675	8.3
12/02/1968	0.0875825	8.3
13/02/1968	0.4721325	8.3
14/02/1968	4.1854025	8.3
15/02/1968	0.0143925	8.3
16/02/1968	0.49449	8.3
17/02/1968	0.1789875	8.3
18/02/1968	4.201135	8.3
19/02/1968	0.23858	8.3
20/02/1968	0.1833825	8.3
21/02/1968	0.0576375	8.3
22/02/1968	0.135585	8.3
23/02/1968	0.22282	8.3
24/02/1968	0.2334325	8.3
25/02/1968	0.1165975	8.3
26/02/1968	0	8.3
27/02/1968	0	8.3
28/02/1968	0	8.3
29/02/1968	0	8.3
01/03/1968	0.1385475	8.3
02/03/1968	0	8.3
03/03/1968	0	8.3
04/03/1968	0.0030675	8.3
05/03/1968	0.119305	8.3
06/03/1968	0	8.3
07/03/1968	0.0219075	8.3
08/03/1968	0.0153375	8.3
09/03/1968	0	8.3
10/03/1968	0	8.3
11/03/1968	0.0103775	8.3
12/03/1968	0.0467375	8.3
13/03/1968	0.35476	8.3
14/03/1968	0	8.3
15/03/1968	0.05265	8.3
16/03/1968	0.213355	8.3
17/03/1968	0.0083325	8.3
18/03/1968	0.0143925	8.3
19/03/1968	2.7803375	8.3
20/03/1968	2.2477375	8.3
21/03/1968	1.655905	8.3
22/03/1968	0.13154	8.3
23/03/1968	0.290335	8.3
24/03/1968	0.60726	8.3
25/03/1968	0.01848	8.3
26/03/1968	0.2262375	8.3
27/03/1968	0.192015	8.3
28/03/1968	0.1669375	8.3
29/03/1968	0	8.3
30/03/1968	0.3907875	8.3
31/03/1968	0	8.3
01/04/1968	0.0143925	8.3
02/04/1968	0	8.3
03/04/1968	0.37902	8.3
04/04/1968	2.4098625	8.3
05/04/1968	0.6635475	8.3
06/04/1968	1.191225	8.3
07/04/1968	0.0625425	8.3
08/04/1968	1.8863875	8.3
09/04/1968	1.4950875	8.3
10/04/1968	0.65627	8.3
11/04/1968	3.65334	8.3
12/04/1968	0.1382475	8.3
13/04/1968	1.7710075	8.3
14/04/1968	0.0853075	8.3
15/04/1968	0.0268125	8.3
16/04/1968	2.718565	8.3
17/04/1968	1.29414	8.3
18/04/1968	1.3073375	8.3
19/04/1968	2.31752	8.3
20/04/1968	0.48073	8.3
21/04/1968	0.434715	8.3
22/04/1968	0.30596	8.3
23/04/1968	0.2658675	8.3
24/04/1968	0.2389075	8.3
25/04/1968	0.26211	8.3
26/04/1968	0.1994	8.3
27/04/1968	0.1889925	8.3
28/04/1968	0.01746	8.3
29/04/1968	0.4153925	8.3
30/04/1968	0.9572725	8.3
01/05/1968	0.0030675	8.3
02/05/1968	0.1027525	8.3
03/05/1968	0.11286	8.3
04/05/1968	0.0030675	8.3
05/05/1968	0.0030675	8.3
06/05/1968	0.0786225	8.3
07/05/1968	0.03405	8.3
08/05/1968	0.20874	8.3
09/05/1968	0.473655	8.3
10/05/1968	5.37611	8.3
11/05/1968	0.2184975	8.3
12/05/1968	0.38745	8.3
13/05/1968	0.0409575	8.3
14/05/1968	0.245525	8.3
15/05/1968	0.6188375	8.3
16/05/1968	0.2100525	8.3
17/05/1968	0.03172	8.3
18/05/1968	6.6735425	8.3
19/05/1968	0.221645	8.3
20/05/1968	12.8278625	8.3
21/05/1968	6.3572775	8.3
22/05/1968	4.58622	8.3
23/05/1968	3.979955	8.3
24/05/1968	18.755435	8.3
25/05/1968	20.69492	8.3
26/05/1968	8.2693875	8.3
27/05/1968	2.7455225	8.3
28/05/1968	30.5622925	8.3
29/05/1968	25.49384	8.3
30/05/1968	0.88131	8.3
31/05/1968	0.665345	8.3
01/06/1968	5.6771625	8.3
02/06/1968	2.7319025	8.3
03/06/1968	4.3370575	8.3
04/06/1968	3.953755	8.3
05/06/1968	0.7980775	8.3
06/06/1968	13.9451425	8.3
07/06/1968	5.2980125	8.3
08/06/1968	8.22992	8.3
09/06/1968	1.1455275	8.3
10/06/1968	3.242765	8.3
11/06/1968	1.015765	8.3
12/06/1968	2.41741	8.3
13/06/1968	7.9679675	8.3
14/06/1968	0.6861725	8.3
15/06/1968	1.0373475	8.3
16/06/1968	0.2246075	8.3
17/06/1968	3.7175675	8.3
18/06/1968	1.748395	8.3
19/06/1968	4.40855	8.3
20/06/1968	0.6876225	8.3
21/06/1968	0.6170975	8.3
22/06/1968	1.1028825	8.3
23/06/1968	2.19151	8.3
24/06/1968	1.5900425	8.3
25/06/1968	0.1976975	8.3
26/06/1968	0.18717	8.3
27/06/1968	9.59414	8.3
28/06/1968	1.6553175	8.3
29/06/1968	8.29194	8.3
30/06/1968	0.06511	8.3
01/07/1968	3.347995	8.3
02/07/1968	9.18869	8.3
03/07/1968	0.4027	8.3
04/07/1968	10.0149675	8.3
05/07/1968	2.108355	8.3
06/07/1968	8.1204025	8.3
07/07/1968	0.3002325	8.3
08/07/1968	1.0941125	8.3
09/07/1968	8.7523175	8.3
10/07/1968	6.28895	8.3
11/07/1968	1.38235	8.3
12/07/1968	0.9363075	8.3
13/07/1968	1.6973225	8.3
14/07/1968	3.0795375	8.3
15/07/1968	1.1092475	8.3
16/07/1968	10.0237425	8.3
17/07/1968	2.222265	8.3
18/07/1968	0.9671825	8.3
19/07/1968	10.8860225	8.3
20/07/1968	2.9247475	8.3
21/07/1968	5.975135	8.3
22/07/1968	0.62799	8.3
23/07/1968	7.607495	8.3
24/07/1968	3.7143975	8.3
25/07/1968	5.4185025	8.3
26/07/1968	5.8701175	8.3
27/07/1968	3.5228775	8.3
28/07/1968	0	8.3
29/07/1968	2.43425	8.3
30/07/1968	1.0987375	8.3
31/07/1968	4.8467925	8.3
01/08/1968	1.5852125	8.3
02/08/1968	2.152095	8.3
03/08/1968	0.28522	8.3
04/08/1968	5.14805	8.3
05/08/1968	2.3723675	8.3
06/08/1968	14.9508375	8.3
07/08/1968	6.8936625	8.3
08/08/1968	7.484725	8.3
09/08/1968	1.5741275	8.3
10/08/1968	0	8.3
11/08/1968	0.9200925	8.3
12/08/1968	5.625075	8.3
13/08/1968	3.5605225	8.3
14/08/1968	0.01818	8.3
15/08/1968	1.3031125	8.3
16/08/1968	6.704095	8.3
17/08/1968	10.7895325	8.3
18/08/1968	4.53947	8.3
19/08/1968	2.7488025	8.3
20/08/1968	3.146305	8.3
21/08/1968	1.62687	8.3
22/08/1968	0.5284525	8.3
23/08/1968	2.59865	8.3
